Peak,Lat,Lng,ELEV_FT
Cloudcroft Peaks,48.43685,-113.56519,8600
Mont Phillips,48.47746,-113.52517,9494
Wolftail Mountain,48.44072,-113.61050,8195
Peril Peak,48.45632,-113.59033,8645
Eaglehead Mountain,48.47334,-113.60533,9140
Mount Pinchot,48.49544,-113.59515,9310
Statuary Mountain,48.39168,-113.49219,8250
Vigil Peak,48.41576,-113.48418,8593
Mount Despair,48.39861,-113.43198,8582
Eagle Ribs Mountain,48.40592,-113.41736,8290
Caper Peak,48.43393,-113.49835,8310
Grizzly Mountain,48.41858,-113.40201,9067
Chief Lodgepole Peak,48.43074,-113.42501,7682
Mount Rockwell,48.44333,-113.45112,9272
Lone Walker Mountain,48.45318,-113.47881,8502
Mount Helen,48.47461,-113.46665,8538
Flinsch Peak,48.49837,-113.46622,9225
Pumpelly Pillar,48.47484,-113.45014,7620
Rising Wolf Mountain,48.49610,-113.41598,9513
Sinopah Mountain,48.46310,-113.41237,8271
Rising Bull Ridge,48.44910,-113.45522,8400
Painted Tepee Peak,48.44218,-113.41206,7650
Never Laughs Mountain,48.44554,-113.38163,7341
Calf Robe Mountain,48.38736,-113.33310,7948
Red Crow Mountain,48.40140,-113.34833,7891
Bearhead Mountain,48.42404,-113.35615,8406
Dancing Lady Mountain,48.43045,-113.30125,7353
Mount Ellsworth,48.43634,-113.36904,8581
Mount Henry,48.45311,-113.34352,8847
Bison Mountain,48.46527,-113.31032,7833
Appistoki Peak,48.46769,-113.35447,8164
Scenic Point,48.48494,-113.32218,7522
Running Rabbit Mountain,48.26055,-113.54021,7674
Snowslip Mountain,48.26257,-113.51529,7290
Mount Shields,48.27545,-113.51606,7131
Scalplock Mountain,48.30008,-113.57464,6919
Rampage Mountain,48.34583,-113.58841,6855
Riverview Mountain,48.36672,-113.61647,6390
Soldier Mountain,48.34077,-113.50102,7320
Elk Mountain,48.30656,-113.44441,7835
Little Dog Mountain,48.34313,-113.38687,8610
Sheep Mountain,48.34144,-113.47106,8569
Brave Dog Mountain,48.35894,-113.46118,8510
Summit Mountain,48.35383,-113.37039,8770
Skeleton Mountain,48.37184,-113.36209,7450
Huckleberry Mountain,48.60039,-114.13434,6593
